kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2108 : 1000 8464 0 0 0 0 0 0 0 
_1.ptx 1936 : 1000 15000 0 0 0 0 0 0 0 
_1.ptx 1522 : 1000 14576 0 0 0 0 0 0 0 
_1.ptx 2345 : 1000 9056 0 0 0 0 0 0 0 
_1.ptx 1947 : 1000 7192 0 0 0 0 0 0 0 
_1.ptx 1533 : 1000 78712 0 0 0 0 0 0 0 
_1.ptx 2356 : 1000 6800 0 0 0 0 0 0 0 
_1.ptx 1739 : 1000 15808 0 0 0 0 0 0 0 
_1.ptx 1540 : 1000 7328 0 0 0 0 0 0 0 
_1.ptx 1949 : 1000 4032 4000 0 0 0 0 0 0 
_1.ptx 1740 : 1000 7928 0 0 0 0 0 0 0 
_1.ptx 1538 : 1000 11128 0 0 0 0 0 0 0 
_1.ptx 2361 : 69000 525560 0 0 0 0 0 0 0 
_1.ptx 2367 : 69000 3462848 0 0 0 0 0 0 0 
_1.ptx 2373 : 69000 776720 0 0 0 0 0 0 0 
_1.ptx 1550 : 1000 7352 0 0 0 0 0 0 0 
_1.ptx 1136 : 1024 7296 0 0 0 0 0 0 0 
_1.ptx 1959 : 1000 9032 0 0 0 0 0 0 0 
